cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
1688938,1,1251247,1,5387685,Aprameya Guruprasad,0,1,2,3,0,0,50.00,RHB,run out Aniruddha Dv,1
1688938,1,1251247,2,8444682,Pavan Gautham,0,31,20,13,0,4,155.00,RHB,not out,0
1688938,1,1251247,3,8445292,Mahesh,0,11,11,8,0,0,100.00,LHB,not out,0
1688938,1,1251247,4,8129644,Pavan Kashyap,1,3,4,2,0,0,75.00,RHB,run out Sridhar,1
1688938,2,1251263,1,809867,Prabhav PK,0,9,7,6,0,1,128.57,RHB,run out Pavan Gautham,1
1688938,2,1251263,2,8469156,Sridhar,0,1,5,4,0,0,20.00,RHB,c&b Aprameya Guruprasad,1
1688938,2,1251263,3,8445499,Paneendra Gautham,0,1,3,3,0,0,33.33,RHB,c Pavan Kashyap b Mahesh,1
1688938,2,1251263,4,8445343,Anantha Madhava,0,10,8,6,1,0,125.00,RHB,not out,0
1688938,2,1251263,5,4143096,Aniruddha Dv,0,18,12,4,0,2,150.00,RHB,not out,0
1688938,2,1251263,6,4048334,Ravi Aniruddha,1,3,3,1,0,0,100.00,RHB,run out Sandeep / Pavan Kashyap,1
1688948,1,1251252,1,8578931,Srihari,0,39,18,17,1,4,216.67,LHB,not out,0
1688948,1,1251252,2,8444550,Bharadwaj Srivatsa,1,3,6,6,0,0,50.00,RHB,c Pranav PK b Madhusudhan K S,1
1688948,1,1251252,3,5994303,Srikanth T K,0,21,10,8,0,3,210.00,RHB,run out Tej,1
1688948,1,1251252,4,8846097,Vishnunandan,0,0,2,1,0,0,0.00,LHB,b Prasanna,1
1688948,1,1251252,5,7662592,Vittala,0,2,2,1,0,0,100.00,RHB,not out,0
1688948,2,1251242,1,8445376,Amith,0,3,7,4,0,0,42.86,RHB,run out Shreenidhi Prakash,1
1688948,2,1251242,2,809163,Pranav PK,0,3,7,7,0,0,42.86,RHB,c Shreenidhi Prakash b Vishnunandan,1
1688948,2,1251242,3,8445420,Madhusudhan K S,0,4,10,5,0,0,40.00,RHB,c Vishnunandan b Shreenidhi Prakash,1
1688948,2,1251242,4,5922441,Prasanna,1,4,5,6,0,0,80.00,RHB,not out,0
1688948,2,1251242,5,8444668,Srisha Badarayana H S,0,7,7,3,0,1,100.00,RHB,c Srikanth T K b Bharadwaj Srivatsa,1
1688948,2,1251242,6,8445414,Tej,0,0,1,1,0,0,0.00,RHB,not out,0
1688959,1,1251256,1,8556484,Srinidhi Ns,0,4,3,4,0,0,133.33,RHB,retired hurt,1
1688959,1,1251256,2,8556507,Prabhanjan,0,19,9,3,0,3,211.11,RHB,b Guruprasad Ramachandrachar,1
1688959,1,1251256,3,8445318,K S Akshay Kaushik,0,15,14,8,2,0,107.14,LHB,run out Pradyumna / Ajith,1
1688959,1,1251256,4,1224122,Badri (5a),0,1,2,1,0,0,50.00,RHB,c Krishna Mys b Bharath Foundry,1
1688959,1,1251256,5,8445462,Prasad K S,1,5,9,6,0,0,55.56,RHB,not out,0
1688959,1,1251256,6,6508655,Sudharshan,0,0,1,1,0,0,0.00,RHB,not out,0
1688959,2,1251253,1,8445356,Pradyumna,0,2,6,3,0,0,33.33,RHB,retired hurt,1
1688959,2,1251253,2,8469155,Krishna Mys,0,1,1,2,0,0,100.00,RHB,retired hurt,1
1688959,2,1251253,3,4416809,Bharath Foundry,0,35,20,9,1,4,175.00,RHB,not out,0
1688959,2,1251253,4,8445368,Jeethu,0,2,6,1,0,0,33.33,LHB,run out Badri (5a),1
1688959,2,1251253,5,8445342,Guruprasad Ramachandrachar,1,4,5,6,0,0,80.00,LHB,not out,0
1688965,1,1251242,1,8445376,Amith,0,7,7,3,1,0,100.00,RHB,retired hurt,1
1688965,1,1251242,2,8445414,Tej,0,35,15,15,1,4,233.33,RHB,not out,0
1688965,1,1251242,3,809163,Pranav PK,0,8,11,6,1,0,72.73,RHB,c †Aprameya Guruprasad b Pavan Gautham,1
1688965,1,1251242,4,5922441,Prasanna,1,0,3,2,0,0,0.00,RHB,c&b Pavan Kashyap,1
1688965,1,1251242,5,8445420,Madhusudhan K S,0,0,1,1,0,0,0.00,RHB,c Mahesh b Pavan Kashyap,1
1688965,1,1251242,6,8453971,Srikanth Krishnamurthy,0,6,1,2,0,1,600.00,RHB,not out,0
1688965,2,1251247,1,8450899,Sandeep,0,10,7,7,1,0,142.86,LHB,retired hurt,1
1688965,2,1251247,2,8129644,Pavan Kashyap,1,9,6,7,0,1,150.00,RHB,c Srikanth Krishnamurthy b Tej,1
1688965,2,1251247,3,8445292,Mahesh,0,13,9,7,0,1,144.44,LHB,run out Prasanna,1
1688965,2,1251247,4,8444682,Pavan Gautham,0,10,10,3,0,1,100.00,RHB,b Tej,1
1688965,2,1251247,5,5387685,Aprameya Guruprasad,0,4,5,4,0,0,80.00,RHB,not out,0
1688965,2,1251247,6,4048300,Vadiraj,0,1,1,1,0,0,100.00,RHB,not out,0
1688970,1,1251263,1,809867,Prabhav PK,0,3,10,3,0,0,30.00,RHB,retired hurt,1
1688970,1,1251263,2,8445343,Anantha Madhava,0,5,5,7,0,0,100.00,RHB,retired hurt,1
