cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
1690015,1,1251253,1,8445356,Pradyumna,1,0,9,0,2,0,0,2,1,9.00
1690015,1,1251253,2,8467573,Ajith,1,0,8,1,3,0,1,0,0,8.00
1690015,1,1251253,3,4416809,BHARATH G S AGASTHYA,2,0,26,1,3,0,3,2,0,13.00
1690015,1,1251253,4,8445342,Guruprasad Ramachandrachar  (c),1,0,13,0,3,0,2,0,0,13.00
1690015,1,1251253,5,8445368,Jeethu,1,0,11,0,2,0,1,0,1,11.00
1690015,2,1251247,1,8450899,Sandeep,1,0,13,0,3,0,2,0,0,13.00
1690015,2,1251247,2,5387685,Aprameya Guruprasad,1,0,12,0,2,1,1,0,0,12.00
1690015,2,1251247,3,8444682,Pavan Gautham,1.2,0,24,0,1,0,3,2,0,18.00
1690015,2,1251247,4,8129644,Pavan Kashyap  (c),1,0,21,0,0,1,2,2,0,21.00
1690017,1,1251256,1,8556484,Srinidhi Ns,1,0,8,0,2,0,0,1,1,8.00
1690017,1,1251256,2,6508655,Sudharshan,1,0,6,1,4,1,0,0,0,6.00
1690017,1,1251256,3,1224122,Badri (5a),2,0,33,0,4,2,2,3,2,16.50
1690017,1,1251256,4,8556507,Prabhanjan,1,0,21,0,1,3,1,2,0,21.00
1690017,1,1251256,5,8445318,K S Akshay Kaushik,1,0,13,0,1,2,0,2,0,13.00
1690017,2,1251242,1,8445376,Amith,1,0,8,0,3,0,1,0,0,8.00
1690017,2,1251242,2,8444668,Srisha Badarayana H S,1,0,18,0,1,1,2,0,0,18.00
1690017,2,1251242,3,8445420,Madhusudhan K S,1,0,16,0,0,0,2,0,0,16.00
1690017,2,1251242,4,8445414,Tej,2,0,9,2,8,0,1,0,0,4.50
1690017,2,1251242,5,809163,Pranav Pk,1,0,5,1,4,1,0,0,0,5.00
1690018,1,1251252,1,8578931,Srihari,1,0,6,0,2,0,0,0,0,6.00
1690018,1,1251252,2,8444550,Bharadwaj Srivatsa  (c),1,0,11,0,2,0,1,2,0,11.00
1690018,1,1251252,3,8846097,Vishnunandan,2,0,21,0,3,2,1,1,0,10.50
1690018,1,1251252,4,8444531,Shreenidhi Prakash,1,0,11,1,1,1,0,1,1,11.00
1690018,1,1251252,5,5994303,Srikanth T K,1,0,9,0,3,0,1,1,0,9.00
1690018,2,1251263,1,809867,Prabhav PK,1,0,2,0,4,0,0,0,0,2.00
1690018,2,1251263,2,8469156,Sridhar,1,0,3,1,3,0,0,0,0,3.00
1690018,2,1251263,3,4143096,Aniruddha Dv,1,0,7,0,0,0,0,1,0,7.00
1690018,2,1251263,4,4048334,Ravi Aniruddha  (c),1,0,8,0,2,1,0,0,0,8.00
1690018,2,1251263,5,8445499,Paneendra Gautham,1,0,8,0,4,1,0,3,0,8.00
1690018,2,1251263,6,8445343,Anantha Madhava,1,0,14,0,2,1,1,2,0,14.00
1690019,1,1251247,1,8450899,Sandeep,1,0,15,0,1,0,2,0,0,15.00
1690019,1,1251247,2,8445292,Mahesh,1,0,11,1,2,2,0,1,0,11.00
1690019,1,1251247,3,5387685,Aprameya Guruprasad,1,0,17,0,1,2,1,1,0,17.00
1690019,1,1251247,4,8444682,Pavan Gautham,2,0,20,0,3,0,2,1,0,10.00
1690019,1,1251247,5,8129644,Pavan Kashyap  (c),1,0,27,0,0,0,4,1,0,27.00
1690019,2,1251256,1,8556484,Srinidhi NS,1,0,9,0,2,0,1,0,0,9.00
1690019,2,1251256,2,8556507,Prabhanjan,2,0,19,0,2,1,1,0,1,9.50
1690019,2,1251256,3,8445318,K S AKSHAY KAUSHIK,1,0,20,0,1,0,3,0,0,20.00
1690019,2,1251256,4,1224122,Badriprasad,1,0,15,0,1,0,2,0,0,15.00
1690019,2,1251256,5,6508655,Sudharshan,1,0,8,0,2,1,0,0,0,8.00
1690019,2,1251256,6,8445462,Prasad K S  (c),0,0,0,0,0,0,0,0,0,0.00
1690021,1,1251253,1,8445356,Pradyumna,1,0,16,1,2,0,2,2,0,16.00
1690021,1,1251253,2,8445342,Guruprasad Ramachandrachar  (c),1,0,20,0,1,0,3,0,0,20.00
1690021,1,1251253,3,4416809,BHARATH G S AGASTHYA,2,0,18,1,5,0,2,0,0,9.00
1690021,1,1251253,4,8445368,Jeethu,1,0,9,0,3,0,1,1,0,9.00
