cricheroes_match_id,innings_number,cricheroes_batting_team_id,cricheroes_bowling_team_id,total_runs,total_wickets,total_legal_balls,overs_played,extras_wides,extras_no_balls,extras_byes,extras_leg_byes,extras_penalty,total_extras,target,is_complete,started_at,ended_at,is_allout,is_forfeited,is_declared
1688938,1,1251247,1251263,50,2,36,6.0,2,1,0,0,0,4,,1,2021-04-11T05:09:31.000Z,2021-04-11T05:23:11.000Z,0,0,0
1688938,2,1251263,1251247,47,4,36,6.0,3,2,0,0,0,5,51,1,2021-04-11T05:24:27.000Z,2021-04-11T05:38:05.000Z,0,0,0
1688948,1,1251252,1251242,70,3,36,6.0,3,2,0,0,0,5,,1,2021-04-11T05:39:21.000Z,2021-04-11T05:56:36.000Z,0,0,0
1688948,2,1251242,1251252,28,4,36,6.0,6,1,0,0,0,7,71,1,2021-04-11T05:57:34.000Z,2021-04-11T06:11:56.000Z,0,0,0
1688959,1,1251256,1251253,49,3,36,6.0,3,2,0,0,0,5,,1,2021-04-11T06:16:11.000Z,2021-04-11T06:29:18.000Z,0,0,0
1688959,2,1251253,1251256,51,1,34,5.4,3,4,0,0,0,7,50,1,2021-04-11T06:30:04.000Z,2021-04-11T06:42:03.000Z,0,0,0
1688965,1,1251242,1251247,60,3,36,6.0,2,2,0,0,0,4,,1,2021-04-11T06:45:02.000Z,2021-04-11T07:00:05.000Z,0,0,0
1688965,2,1251247,1251242,52,3,36,6.0,3,2,0,0,0,5,61,1,2021-04-11T07:00:26.000Z,2021-04-11T07:16:32.000Z,0,0,0
1688970,1,1251263,1251253,50,2,36,6.0,4,1,0,0,0,5,,1,2021-04-11T07:19:08.000Z,2021-04-11T07:32:11.000Z,0,0,0
1688970,2,1251253,1251263,49,4,36,6.0,5,1,0,0,0,6,51,1,2021-04-11T07:32:40.000Z,2021-04-11T07:46:55.000Z,0,0,0
1688978,1,1251256,1251252,55,4,36,6.0,6,4,0,0,0,10,,1,2021-04-11T07:48:48.000Z,2021-04-11T08:08:24.000Z,0,0,0
1688978,2,1251252,1251256,32,5,36,6.0,4,0,0,0,0,4,56,1,2021-04-11T08:10:19.000Z,2021-04-11T08:22:44.000Z,0,0,0
1690015,1,1251247,1251253,67,2,36,6.0,0,0,0,0,0,6,,1,2021-04-11T08:25:31.000Z,2021-04-11T08:37:45.000Z,0,0,0
1690015,2,1251253,1251247,70,0,26,4.2,0,0,0,0,0,4,68,1,2021-04-11T08:39:12.000Z,2021-04-11T08:50:05.000Z,0,0,0
1690017,1,1251242,1251256,81,1,36,6.0,8,3,0,0,0,12,,1,2021-04-11T09:16:47.000Z,2021-04-11T09:31:33.000Z,0,0,0
1690017,2,1251256,1251242,57,4,36,6.0,0,0,0,0,0,1,82,1,2021-04-11T09:32:50.000Z,2021-04-11T09:49:57.000Z,0,0,0
1690018,1,1251263,1251252,58,2,36,6.0,5,1,0,0,0,6,,1,2021-04-11T09:53:27.000Z,2021-04-11T10:03:27.000Z,0,0,0
1690018,2,1251252,1251263,42,2,36,6.0,6,0,0,0,0,6,59,1,2021-04-11T10:04:50.000Z,2021-04-11T10:16:57.000Z,0,0,0
1690019,1,1251256,1251247,90,2,36,6.0,4,0,0,0,0,4,,1,2021-04-11T10:22:43.000Z,2021-04-11T10:33:58.000Z,0,0,0
1690019,2,1251247,1251256,71,1,36,6.0,0,1,0,0,0,1,91,1,2021-04-11T10:34:40.000Z,2021-04-11T11:58:57.000Z,0,0,0
1690021,1,1251252,1251253,96,4,36,6.0,5,0,0,0,0,5,,1,2021-04-11T10:51:16.000Z,2021-04-11T11:03:01.000Z,0,0,0
