cricheroes_match_id,cricheroes_team_id,cricheroes_player_id,batting_order,is_captain,is_keeper,is_substitute
1690015,1251247,5387685,1,0,0,0
1690015,1251247,8444682,2,0,0,0
1690015,1251247,8129644,3,1,0,0
1690015,1251247,8445292,4,0,0,0
1690015,1251253,8445356,1,0,0,0
1690015,1251253,8467573,,0,0,0
1690015,1251253,4416809,3,0,0,0
1690015,1251253,8445342,,0,0,0
1690015,1251253,8445368,,0,0,0
1690015,1251253,8469155,2,0,0,0
1690015,1251247,8450899,,0,0,0
1690017,1251242,8445376,1,0,0,0
1690017,1251242,8445414,2,0,0,0
1690017,1251242,809163,3,0,0,0
1690017,1251256,8556484,1,0,0,0
1690017,1251256,6508655,5,0,0,0
1690017,1251256,1224122,4,0,0,0
1690017,1251256,8556507,2,0,0,0
1690017,1251256,8445318,3,0,0,0
1690017,1251256,8445462,6,1,1,0
1690017,1251242,8444668,,0,0,0
1690017,1251242,8445420,,0,0,0
1690018,1251263,809867,1,0,0,0
1690018,1251263,4143096,2,0,0,0
1690018,1251263,4048334,3,1,0,0
1690018,1251263,8445499,4,0,0,0
1690018,1251263,8445343,5,0,0,0
1690018,1251252,8578931,1,0,0,0
1690018,1251252,8444550,4,1,0,0
1690018,1251252,8846097,,0,0,0
1690018,1251252,8444531,3,0,0,0
1690018,1251252,5994303,5,0,0,0
1690018,1251252,7662592,2,0,0,0
1690018,1251263,8469156,,0,0,0
1690019,1251256,8556484,1,0,0,0
1690019,1251256,1224122,2,0,0,0
1690019,1251256,8556507,3,0,0,0
1690019,1251256,6508655,4,0,0,0
1690019,1251256,8445318,5,0,0,0
1690019,1251247,8450899,,0,0,0
1690019,1251247,8445292,,0,0,0
1690019,1251247,5387685,1,0,0,0
1690019,1251247,8444682,3,0,0,0
1690019,1251247,8129644,2,1,0,0
1690019,1251256,8445462,,0,0,0
1690021,1251252,8578931,1,0,0,0
1690021,1251252,8444550,2,1,0,0
1690021,1251252,8444531,3,0,0,0
1690021,1251252,5994303,4,0,0,0
1690021,1251252,8846097,5,0,0,0
1690021,1251252,7662592,6,0,1,0
1690021,1251253,8445356,1,0,0,0
1690021,1251253,8445342,4,1,0,0
1690021,1251253,4416809,3,0,0,0
1690021,1251253,8445368,2,0,0,0
1690021,1251253,8467573,5,0,0,0
1690021,1251253,8469155,6,0,0,0
1690024,1251263,809867,1,0,0,0
1690024,1251263,4143096,2,0,0,0
1690024,1251263,8445343,3,0,0,0
1690024,1251263,4048334,4,1,0,0
1690024,1251263,8445499,5,0,0,0
1690024,1251263,8469156,6,0,0,0
1690024,1251242,8445376,1,0,0,0
1690024,1251242,8445420,5,0,1,0
1690024,1251242,8445414,2,0,0,0
1690024,1251242,5922441,4,1,0,0
1690024,1251242,809163,3,0,0,0
1690024,1251242,8444668,6,0,0,0
1690028,1251252,8578931,1,0,0,0
1690028,1251252,8444550,2,1,0,0
1690028,1251252,8444531,3,0,0,0
1690028,1251252,5994303,4,0,0,0
1690028,1251252,8846097,5,0,0,0
1690028,1251247,8450899,6,0,0,0
1690028,1251247,5387685,1,0,0,0
1690028,1251247,8129644,3,1,0,0
1690028,1251247,8444682,2,0,0,0
1690028,1251247,8445292,4,0,0,0
1690028,1251247,4048300,5,0,0,0
1690028,1251252,7662592,,0,0,0
1690031,1251253,8445356,1,0,0,0
1690031,1251253,8445368,2,0,0,0
1690031,1251253,4416809,3,0,0,0
1690031,1251242,8445376,1,0,0,0
1690031,1251242,809163,2,0,0,0
1690031,1251242,8445414,3,0,0,0
1690031,1251242,8445420,5,0,0,0
1690031,1251242,5922441,4,1,0,0
1690031,1251253,8445342,,0,0,0
1690031,1251253,8467573,,0,0,0
1690031,1251253,8469155,,0,0,0
1690029,1251256,8556484,1,0,0,0
1690029,1251256,1224122,2,0,0,0
1690029,1251256,8556507,3,0,0,0
1690029,1251256,8445318,4,0,0,0
1690029,1251263,809867,1,0,0,0
1690029,1251263,4048334,5,1,0,0
1690029,1251263,8445499,3,0,0,0
1690029,1251263,4143096,4,0,0,0
1690029,1251263,8445343,2,0,0,0
1690029,1251256,6508655,,0,0,0
1817613,1251253,8445356,1,0,0,0
1817613,1251253,8445368,2,0,0,0
1817613,1251253,4416809,3,0,0,0
1817613,1251253,8445342,4,1,0,0
1817613,1251252,8578931,1,0,0,0
1817613,1251252,5994303,4,0,0,0
1817613,1251252,8444531,3,0,0,0
1817613,1251252,8846097,5,0,0,0
1817613,1251252,8444550,2,1,0,0
1817613,1251252,7662592,6,0,1,0
1817613,1251253,8467573,,0,0,0
1817613,1251253,8469155,,0,0,0
1817710,1251263,809867,1,0,0,0
1817710,1251263,4143096,2,0,0,0
1817710,1251263,8445343,3,0,0,0
1817710,1251263,8445499,4,0,0,0
1817710,1251263,4048334,5,1,0,0
1817710,1251256,8556484,1,0,0,0
1817710,1251256,6508655,4,0,0,0
1817710,1251256,8556507,3,0,0,0
1817710,1251256,1224122,2,0,0,0
1817710,1251256,8445318,5,0,0,0
1817710,1251263,8469156,,0,0,0
1817785,1251253,8445356,1,0,0,0
1817785,1251253,8445368,2,0,0,0
1817785,1251253,4416809,3,0,0,0
1817785,1251253,8445342,4,1,0,0
1817785,1251253,8467573,5,0,0,0
1817785,1251253,8469155,6,0,0,0
1817785,1251263,809867,1,0,0,0
1817785,1251263,8445343,3,0,0,0
1817785,1251263,4048334,5,1,0,0
1817785,1251263,4143096,2,0,0,0
1817785,1251263,8445499,4,0,0,0
1817785,1251263,8469156,6,0,1,0
2278728,1597088,8556484,1,0,0,0
