cricheroes_match_id,cricheroes_tournament_id,season,match_number,stage,cricheroes_team_a_id,cricheroes_team_b_id,team_a_name,team_b_name,scheduled_at,started_at,ended_at,venue,overs_per_innings,players_per_side,cricheroes_toss_winner_id,toss_decision,status,result_type,cricheroes_winner_id,winner_name,win_margin,cricheroes_pom_player_id,pom_player_name,cricheroes_round_name,match_result,is_super_over,ground_name,city_name
1688938,236267,1,1,group,1251247,1251263,Team Padmanabha Thirtharu,Team Bhramanya Thirtharu,2021-04-11T05:09:31.000Z,2021-04-11T05:09:31.000Z,2021-04-11 05:38:05,Pro Legacy Sports Academy,6,6,1251263,bowl,completed,normal,1251247,Team Padmanabha Thirtharu,3 runs,8444682,Pavan Gautham,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1688948,236267,1,2,group,1251252,1251242,Team Vijayeendra Thirtharu,Team Vyasaraja Thirtharu,2021-04-11T05:39:21.000Z,2021-04-11T05:39:21.000Z,2021-04-11 06:11:56,Pro Legacy Sports Academy,6,6,1251242,bowl,completed,normal,1251252,Team Vijayeendra Thirtharu,42 runs,8578931,Srihari,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1688959,236267,1,3,group,1251256,1251253,Team Raghuttama Thirtharu,Team Vadiraja Thirtharu,2021-04-11T06:16:11.000Z,2021-04-11T06:16:11.000Z,2021-04-11 06:42:04,Pro Legacy Sports Academy,6,6,1251256,bat,completed,normal,1251253,Team Vadiraja Thirtharu,4 wickets,4416809,Bharath Foundry,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1688965,236267,1,4,group,1251242,1251247,Team Vyasaraja Thirtharu,Team Padmanabha Thirtharu,2021-04-11T06:45:02.000Z,2021-04-11T06:45:02.000Z,2021-04-11 07:16:32,Pro Legacy Sports Academy,6,6,1251242,bat,completed,normal,1251242,Team Vyasaraja Thirtharu,8 runs,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1688970,236267,1,5,group,1251263,1251253,Team Bhramanya Thirtharu,Team Vadiraja Thirtharu,2021-04-11T07:19:08.000Z,2021-04-11T07:19:08.000Z,2021-04-11 07:46:55,Pro Legacy Sports Academy,6,6,1251253,bowl,completed,normal,1251263,Team Bhramanya Thirtharu,1 run,4048334,Ravi Aniruddha,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1688978,236267,1,6,group,1251256,1251252,Team Raghuttama Thirtharu,Team Vijayeendra Thirtharu,2021-04-11T07:48:48.000Z,2021-04-11T07:48:48.000Z,2021-04-11 08:22:45,Pro Legacy Sports Academy,6,6,1251256,bat,completed,normal,1251256,Team Raghuttama Thirtharu,23 runs,1224122,Badri (5a),League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690015,236267,1,7,group,1251247,1251253,Team Padmanabha Thirtharu,Team Vadiraja Thirtharu,2021-04-11T08:25:31.000Z,2021-04-11T08:25:31.000Z,2021-04-12 09:00:21,Pro Legacy Sports Academy,6,6,1251253,bowl,completed,normal,1251253,Team Vadiraja Thirtharu,5 wickets,4416809,Bharath Foundry,League Matches,resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690017,236267,1,8,group,1251242,1251256,Team Vyasaraja Thirtharu,Team Raghuttama Thirtharu,2021-04-11T09:16:47.000Z,2021-04-11T09:16:47.000Z,2021-04-11 09:51:11,Pro Legacy Sports Academy,6,6,1251242,bat,completed,normal,1251242,Team Vyasaraja Thirtharu,24 runs,8445414,Tej,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690018,236267,1,9,group,1251263,1251252,Team Bhramanya Thirtharu,Team Vijayeendra Thirtharu,2021-04-11T09:53:27.000Z,2021-04-11T09:53:27.000Z,2021-04-11 10:16:57,Pro Legacy Sports Academy,6,6,1251263,bat,completed,normal,1251263,Team Bhramanya Thirtharu,16 runs,4143096,Aniruddha Dv,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690019,236267,1,10,group,1251256,1251247,Team Raghuttama Thirtharu,Team Padmanabha Thirtharu,2021-04-11T10:22:43.000Z,2021-04-11T10:22:43.000Z,2021-04-11 11:58:59,Pro Legacy Sports Academy,6,6,1251256,bat,completed,normal,1251256,Team Raghuttama Thirtharu,19 runs,8556507,Prabhanjan,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690021,236267,1,11,group,1251252,1251253,Team Vijayeendra Thirtharu,Team Vadiraja Thirtharu,2021-04-11T10:51:16.000Z,2021-04-11T10:51:16.000Z,2021-04-11 11:16:40,Pro Legacy Sports Academy,6,6,1251252,bat,completed,normal,1251252,Team Vijayeendra Thirtharu,75 runs,5994303,Srikanth T K,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690024,236267,1,12,group,1251263,1251242,Team Bhramanya Thirtharu,Team Vyasaraja Thirtharu,2021-04-11T11:19:51.000Z,2021-04-11T11:19:51.000Z,2021-04-11 11:51:19,Pro Legacy Sports Academy,6,6,1251263,bat,completed,normal,1251263,Team Bhramanya Thirtharu,1 run,8445499,Paneendra Gautham,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690028,236267,1,13,group,1251252,1251247,Team Vijayeendra Thirtharu,Team Padmanabha Thirtharu,2021-04-11T11:54:41.000Z,2021-04-11T11:54:41.000Z,2021-04-11 12:23:03,Pro Legacy Sports Academy,6,6,1251252,bat,completed,normal,1251252,Team Vijayeendra Thirtharu,41 runs,5994303,Srikanth T K,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1690031,236267,1,14,group,1251253,1251242,Team Vadiraja Thirtharu,Team Vyasaraja Thirtharu,2021-04-11T12:34:31.000Z,2021-04-11T12:34:31.000Z,2021-04-11 13:11:19,Pro Legacy Sports Academy,6,6,1251253,bat,completed,normal,1251253,Team Vadiraja Thirtharu,15 runs,8445368,Jeethu,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
