cricheroes_team_id,cricheroes_tournament_id,season,name,short_name,logo_url
1251263,236267,1,Team Brahmanya Thirtharu,BRA,
1251247,236267,1,Team Padmanabha Thirtharu,PAD,
1251256,236267,1,Team Raghuttama Thirtharu,RAG,
1251253,236267,1,Team Vadiraja Thirtharu,VAD,
1251252,236267,1,Team Vijayeendra Thirtharu,VIJ,
1251242,236267,1,Team Vyasaraja Thirtharu,VYA,
1597085,293657,2,Chalukya Chakravarthis,CHA,1633170565393_WUGyGdQkfoVX.jpg
1597084,293657,2,Hoysala Hunters,HOY,1633170619184_rLTXrTl8Anvu.jpg
1597088,293657,2,Kadamba Yodhas,KAD,1633170656881_MYuQN81shMlw.jpg
1597087,293657,2,Rashtrakuta Ranadheeras,RAS,1633170341529_WIh27UDlFcMc.jpg
1597091,293657,2,Vijayanagara Royals,VIJ,1632742407133_WFLqkX4wweja.jpg
1597090,293657,2,Wodeyars The Kings,WOD,1633170695811_IPVQNkH7jQaq.jpg
1597085,443660,3,Chalukya Chakravarthis,CHA,1633170565393_WUGyGdQkfoVX.jpg
1597084,443660,3,Hoysala Hunters,HOY,1633170619184_rLTXrTl8Anvu.jpg
1597088,443660,3,Kadamba Yodhas,KAD,1633170656881_MYuQN81shMlw.jpg
1597087,443660,3,Rashtrakuta Ranadheeras,RAS,1633170341529_WIh27UDlFcMc.jpg
1597091,443660,3,Vijayanagara Royals,VIJ,1632742407133_WFLqkX4wweja.jpg
1597090,443660,3,Wodeyars The Kings,WOD,1633170695811_IPVQNkH7jQaq.jpg
1597085,577076,4,Chalukya Chakravarthis,CHA,1633170565393_WUGyGdQkfoVX.jpg
1597084,577076,4,Hoysala Hunters,HOY,1633170619184_rLTXrTl8Anvu.jpg
1597088,577076,4,Kadamba Yodhas,KAD,1633170656881_MYuQN81shMlw.jpg
1597087,577076,4,Rashtrakuta Ranadheeras,RAS,1633170341529_WIh27UDlFcMc.jpg
1597091,577076,4,Vijayanagara Royals,VIJ,1632742407133_WFLqkX4wweja.jpg
1597090,577076,4,Wodeyars The Kings,WOD,1633170695811_IPVQNkH7jQaq.jpg
388115,577076,4,lko lions,LKO,
6767128,983328,5,Chalukya Chakravarthis,CHA,
3881115,983328,5,Glorious Ganga,GLO,
1597084,983328,5,Hoysala Hunters,HOY,1633170619184_rLTXrTl8Anvu.jpg
6733389,983328,5,Kadamba Warriors,KAD,
6767130,983328,5,Rashtrakuta Ranadhiras,RAS,
6767132,983328,5,Vijayanagara Royals,VIJ,
6767134,983328,5,Wodeyars the Kings,WOD,
6767128,1462709,6,Chalukya Chakravarthis,CHA,
3881115,1462709,6,Glorious Ganga,GLO,
1597084,1462709,6,Hoysala Hunters,HOY,1633170619184_rLTXrTl8Anvu.jpg
6733389,1462709,6,Kadamba Warriors,KAD,
6767130,1462709,6,Rashtrakuta Ranadhiras,RAS,
6767132,1462709,6,Vijayanagara Royals,VIJ,
6767134,1462709,6,Wodeyars the Kings,WOD,
