cricheroes_tournament_id,cricheroes_team_id,cricheroes_player_id,name,rank,matches,batting,bowling,fielding,total
236267,1251242,8445414,Tej,1,5,12.991,6.251,2.064,21.306
236267,1251253,4416809,Bharath Foundry,2,7,13.539,6.870,0.594,21.003
236267,1251247,8444682,Pavan Gautham,3,5,13.796,1.571,3.600,18.967
236267,1251263,4143096,Aniruddha Dv,4,7,10.206,2.431,4.896,17.533
236267,1251252,5994303,Srikanth T K,5,6,15.302,1.994,0.192,17.488
236267,1251252,8444531,Shreenidhi Prakash,6,6,10.294,3.006,2.730,16.030
236267,1251256,8445318,K S Akshay Kaushik,7,6,11.964,1.306,1.800,15.070
236267,1251263,8445499,Paneendra Gautham,8,7,11.433,0.970,2.160,14.563
236267,1251252,8578931,Srihari,9,6,8.321,1.359,1.200,10.880
236267,1251263,4048334,Ravi Aniruddha,10,7,5.624,4.556,0.240,10.420
236267,1251247,8129644,Pavan Kashyap,11,5,7.077,1.760,0.744,9.581
236267,1251256,8556507,Prabhanjan,12,6,9.233,0.129,0.192,9.554
236267,1251256,1224122,Badri (5a),13,6,4.771,3.024,1.680,9.475
236267,1251256,8556484,Srinidhi Ns,14,6,7.527,1.082,0.600,9.209
236267,1251253,8445368,Jeethu,15,6,7.770,0.438,0.960,9.168
236267,1251252,8444550,Bharadwaj Srivatsa,16,6,2.946,4.353,1.776,9.075
236267,1251242,809163,Pranav Pk,17,5,6.495,0.847,1.680,9.022
236267,1251253,8445356,Pradyumna,18,7,3.349,2.205,3.360,8.914
236267,1251263,8445343,Anantha Madhava,19,7,6.264,2.097,0.240,8.601
236267,1251252,8846097,Nandan Kashyap,20,6,1.513,5.566,1.242,8.321
236267,1251253,8467573,Ajith,21,7,1.851,2.348,2.160,6.359
236267,1251253,8445342,Guruprasad Ramachandrachar,22,7,2.358,2.446,1.320,6.124
236267,1251247,8445292,Mahesh,23,5,3.460,2.107,0.192,5.759
236267,1251263,8469156,Sridhar,24,6,0.940,1.240,3.114,5.294
236267,1251242,5922441,Prasanna,25,4,3.046,0.960,1.200,5.206
236267,1251247,5387685,Aprameya Guruprasad,26,5,2.947,1.345,0.480,4.772
236267,1251256,8445462,Prasad K S,27,6,1.676,-0.060,2.976,4.592
236267,1251253,8469155,Krishna Mys,28,7,3.987,-0.133,0.432,4.286
236267,1251263,809867,Prabhav Pk,29,7,2.190,1.854,0.000,4.044
236267,1251252,7662592,Vittala,30,6,0.953,1.356,1.680,3.989
236267,1251256,6508655,Sudharshan,31,5,1.453,1.356,0.960,3.769
236267,1251242,8445420,Madhusudhan K S,32,5,0.576,2.822,0.240,3.638
236267,1251247,8450899,Sandeep,33,5,0.921,0.565,1.560,3.046
236267,1251242,8445376,Amith,34,5,1.831,0.662,0.000,2.493
236267,1251242,8453971,Srikanth Krishnamurthy,35,2,0.773,-0.069,1.440,2.144
236267,1251242,8444668,Srisha Badarayana H S,36,3,1.532,-0.094,0.240,1.678
236267,1251247,4048300,Vadiraj,37,1,0.094,0.000,0.000,0.094
293657,1597085,8445414,Tej,1,7,18.301,12.730,5.472,36.503
293657,1597087,8452770,Ashrith Kashyap,2,8,20.366,5.812,0.816,26.994
293657,1597084,8129644,Pavan Kashyap,3,6,19.159,3.710,0.840,23.709
293657,1597090,4416809,Bharath G S Agasthya,4,5,8.330,11.396,1.920,21.646
293657,1597087,8444550,Bharadwaj Srivatsa,5,7,15.285,-0.056,0.720,15.949
293657,1597091,8445499,Paneendra Gautham,6,7,10.986,3.798,1.098,15.882
293657,1597091,5994303,Srikanth T K,7,7,10.279,4.463,0.960,15.702
293657,1597085,809163,Pranav Pk,8,7,6.520,5.831,2.760,15.111
293657,1597091,4143096,Aniruddha Dv,9,6,8.106,3.075,2.544,13.725
293657,1597084,8444682,Pavan Gautham,10,6,10.095,2.879,0.480,13.454
293657,1597088,8445318,K S Akshay Kaushik,11,5,12.279,0.969,0.000,13.248
293657,1597090,8445368,Jeethu,12,5,8.224,4.573,0.240,13.037
